Band,SZA,VZA,RAA,R_atm
B1,50,70,170,0.217
B1,50,70,180,0.218
B1,50,80,0,0.442
B1,50,80,10,0.438
B1,50,80,20,0.426
B1,50,80,30,0.407
B1,50,80,40,0.384
B1,50,80,50,0.359
B1,50,80,60,0.334
B1,50,80,70,0.312
B1,50,80,80,0.295
B1,50,80,90,0.285
B1,50,80,100,0.282
B1,50,80,110,0.286
B1,50,80,120,0.296
B1,50,80,130,0.31
B1,50,80,140,0.326
B1,50,80,150,0.342
B1,50,80,160,0.355
B1,50,80,170,0.364
B1,50,80,180,0.367
B1,60,0,0,0.107
B1,60,0,10,0.107
B1,60,0,20,0.107
B1,60,0,30,0.107
B1,60,0,40,0.107
B1,60,0,50,0.107
B1,60,0,60,0.107
B1,60,0,70,0.107
B1,60,0,80,0.107
B1,60,0,90,0.107
B1,60,0,100,0.107
B1,60,0,110,0.107
B1,60,0,120,0.107
B1,60,0,130,0.107
B1,60,0,140,0.107
B1,60,0,150,0.107
B1,60,0,160,0.107
B1,60,0,170,0.107
B1,60,0,180,0.107
B1,60,10,0,0.122
B1,60,10,10,0.121
B1,60,10,20,0.121
B1,60,10,30,0.12
B1,60,10,40,0.118
B1,60,10,50,0.117
B1,60,10,60,0.115
B1,60,10,70,0.113
B1,60,10,80,0.111
B1,60,10,90,0.109
B1,60,10,100,0.107
B1,60,10,110,0.105
B1,60,10,120,0.103
B1,60,10,130,0.102
B1,60,10,140,0.101
B1,60,10,150,0.1
B1,60,10,160,0.099
B1,60,10,170,0.099
